gpstime,lat,lon,alt,stdlat,stdlon,stdalt,roll,pitch,head,mntroll,mntpitch,mntyaw,quality,HDOP,numSV,sep
204030.0,24.9770185,121.551176,24.2,0.039,0.046,0.51,0.52303,-0.8776,19.06865,0.71,3.95,359.48,4,0.65,12,17.1
204030.2,24.9770185,121.551176,24.2,0.039,0.046,0.51,0.52834,-0.88185,19.06889,0.71,3.95,359.48,4,0.65,12,17.1
204030.3,24.9770185,121.551176,24.2,0.039,0.046,0.51,0.52969,-0.88232,19.06831,0.71,3.95,359.48,4,0.65,12,17.1
204030.5,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.53858,-0.89861,19.07046,0.71,3.95,359.48,4,0.65,12,17.1
204030.7,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.54221,-0.91075,19.07036,0.71,3.95,359.48,4,0.65,12,17.1
204030.8,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.54752,-0.92883,19.0704,0.71,3.95,359.48,4,0.65,12,17.1
204031.0,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.54779,-0.93763,19.07141,0.71,3.95,359.48,4,0.65,12,17.1
204031.1,24.9770185,121.5511761667,24.1,0.039,0.046,0.51,0.54321,-0.94655,19.07011,0.71,3.95,359.48,4,0.65,12,17.1
204031.3,24.9770185,121.5511761667,24.1,0.039,0.046,0.51,0.50655,-0.87416,19.07442,0.71,3.95,359.48,4,0.65,12,17.1
204031.5,24.9770185,121.5511761667,24.1,0.039,0.046,0.51,0.49865,-0.86391,19.0752,0.71,3.95,359.48,4,0.65,12,17.1
